productoid,nombre,referencia,ean13,ingreso,costo,contribucion,ventana_dias,servidor_sync
"003456","EMULSION SCOTT 180ML TROPICAL","100001932","7707172681183",16500.0000,14507.6250,1992.3750,30,"192.168.123.231"
"002938","CAF AROMA INST 85G CJAX24","2938","7707199660352",16500.0000,13477.9500,3022.0500,30,"192.168.123.231"
"029110","QUESO STELAR 350G TAJADO SANDWICH","","7708019118404",16500.0000,13333.2500,3166.7500,30,"192.168.123.231"
"027288","AMBIENTADOR BON AIRE VARITAS 80ML","","7702532313056",16500.0000,11308.3400,5191.6600,30,"192.168.123.231"
"027875","COMINO BADIA 28G SBS","","033844000172",16500.0000,11253.9033,5246.0967,30,"192.168.123.231"
"030572","SALSA BARILLA 500G NAPOLETANA","","8076809541701",16500.0000,10927.0000,5573.0000,30,"192.168.123.231"
"007032","COLA Y POLA 1.5LT BOTELLA PACX6U","","7702004016652",16500.0000,10814.5557,5685.4443,30,"192.168.123.231"
"026084","VITAMINA C 500MG 12U ECAR CJAX144U","100020638","7702184580226",16500.0000,8517.3268,7982.6732,30,"192.168.123.231"
"009081","ZERIDIL 10MG CJAX10TAB","009081","7707019330229",16500.0000,7800.0000,8700.0000,30,"192.168.123.231"
"012252","CEPILLO DENTAL WHOLEFRESH KIDS ELEFANTE SUAVE","200027641","7704768004562",16500.0000,5597.0445,10902.9555,30,"192.168.123.231"
"025756","JERINGA 3P 21X1 1/2 10ML 1U ICOM CJAX100U","200045151","7704768006610",16500.0000,3135.0000,13365.0000,30,"192.168.123.231"
"003258","TALCO YODORA 60G ANTIBACTERIAL","200003032","7702057081027",16400.0000,14387.4350,2012.5650,30,"192.168.123.231"
"012969","VINO BOHEMIO 750ML COCINA CJAX12U","","7702356801173",16400.0000,13855.3800,2544.6200,30,"192.168.123.231"
"022818","CHOCOLATE CORONA 166.4G CERO%AZUCAR","","7702007075663",16400.0000,13518.0000,2882.0000,30,"192.168.123.231"
"012310","BREVAS BOCANO 250G 6U","","7707221760364",16400.0000,12988.3080,3411.6920,30,"192.168.123.231"
"014732","CREMA DENTAL COLGATE 60G TRIPLE ACCION EXTRA BLANCURA","200034000","7702010111587",16400.0000,12622.0688,3777.9312,30,"192.168.123.231"
"030844","RIOPAN GEL 10ML CJAX10SBS","100023244","7730766000435",16400.0000,12248.0000,4152.0000,30,"192.168.123.231"
"029415","AMBIENTADOR GLADE 60ML VARIT LAVAN","200047364","7503053774919",16400.0000,11857.0000,4543.0000,30,"192.168.123.231"
"013787","IBUPROFENO 800MG 1SBS 5CAP CAPSULA BLANDA MK CJAX6SBS","100024891","7702057091125",16400.0000,10822.5826,5577.4174,30,"192.168.123.231"
"014741","QUATRO 1.5LT TORONJA","","7702535011706",16400.0000,10049.8298,6350.1702,30,"192.168.123.231"
"030833","AJONJOLI DISPRONAT 500G TOSTADO BOLSA","","7703080866995",16300.0000,8611.8000,7688.2000,30,"192.168.123.231"
"025250","MANI LA ESPECIAL 40G MIX ARANDANOS","","7702007063899",16250.0000,6759.8022,9490.1978,30,"192.168.123.231"
"028557","QUESO COLANTA 230G CREMA ESPARCIR LIGHT","","7702129025294",16200.0000,13639.3245,2560.6755,30,"192.168.123.231"
